episode_id,ground_truth,decoded_intent,duration_min,is_compositional,is_training,is_repair_trial,repair_outcome,is_uncertainty_trial,difficulty,agent_response
E0152,1,8,0.594,0,0,0,,0,,incorrect
E0078,11,5,0.342,0,0,0,,0,,incorrect
E0236,6,6,0.359,0,0,0,,0,,correct
E0343,5,5,0.48,0,0,0,,0,,correct
E0142,7,7,0.446,0,0,0,,0,,correct
E0759,0,-1,0.416,0,0,0,,1,hard,UNKNOWN
E0768,1,0,0.249,0,0,0,,1,hard,incorrect
E0428,1,1,0.594,0,0,0,,0,,correct
E0302,8,8,0.377,0,0,0,,0,,correct
E0054,9,9,0.473,0,0,0,,0,,correct
E0169,6,6,0.668,0,0,0,,0,,correct
E0359,6,2,0.621,0,0,0,,0,,incorrect
E0647,0,1,0.457,0,0,0,,1,easy,incorrect
E0665,1,1,0.37,0,0,0,,1,easy,correct
E0448,9,9,0.585,0,0,0,,0,,correct
E0447,10,10,0.476,0,0,0,,0,,correct
E0022,4,4,0.551,0,0,0,,0,,correct
E0547,7,11,0.932,0,0,1,modify_failed,0,,failed
E0324,5,5,0.5,0,0,0,,0,,correct
E0306,9,9,0.377,0,0,0,,0,,correct
E0697,1,1,0.322,0,0,0,,1,easy,correct
E0545,1,1,0.976,0,0,1,recovered,0,,recovered
E0025,1,1,0.591,0,0,0,,0,,correct
E0643,0,0,0.433,0,0,0,,1,easy,correct
E0106,6,10,0.928,0,0,0,,0,,incorrect
E0200,11,11,0.426,0,0,0,,0,,correct
E0086,10,10,0.29,0,0,0,,0,,correct
E0021,9,8,0.313,0,0,0,,0,,incorrect
E0683,0,0,0.345,0,0,0,,1,easy,correct
E0489,1,2,0.411,0,0,1,modify_failed,0,,failed
E0396,2,8,0.653,0,0,0,,0,,incorrect
E0278,2,2,0.99,0,0,0,,0,,correct
E0197,10,10,0.501,0,0,0,,0,,correct
E0129,9,9,0.519,0,0,0,,0,,correct
E0075,8,4,0.412,0,0,0,,0,,incorrect
E0554,0,7,0.509,0,0,1,repeat_failed,0,,failed
E0799,1,0,0.411,0,0,0,,1,hard,incorrect
E0192,5,8,0.436,0,0,0,,0,,incorrect
E0033,10,10,0.516,0,0,0,,0,,correct
E0500,5,10,0.389,0,0,1,repeat_failed,0,,failed
E0762,0,-1,0.333,0,0,0,,1,hard,UNKNOWN
E0478,10,10,0.395,1,0,0,,0,,correct
E0549,6,6,0.766,0,0,1,recovered,0,,recovered
E0686,1,1,0.367,0,0,0,,1,easy,correct
E0066,1,10,0.711,0,0,0,,0,,incorrect
