trial_uid,subject,source_file,source_file_sha256,session_T_or_E,source_record_index,task_run_index,within_run_trial_index,trial_sample_matlab,trial_sample_zero_based,cue_sample_zero_based,source_label,canonical_class,artifact_flag,retained,exclusion_reason,epoch_start_sample,epoch_stop_sample_inclusive
S01:T:record03:trial001,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,0,251,250,750,4,tongue,0,True,,875,1375
S01:T:record03:trial002,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,1,2254,2253,2753,3,feet,0,True,,2878,3378
S01:T:record03:trial003,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,2,4172,4171,4671,2,right_hand,0,True,,4796,5296
S01:T:record03:trial004,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,3,6124,6123,6623,1,left_hand,0,True,,6748,7248
S01:T:record03:trial005,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,4,8132,8131,8631,1,left_hand,0,True,,8756,9256
S01:T:record03:trial006,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,5,10243,10242,10742,2,right_hand,0,True,,10867,11367
S01:T:record03:trial007,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,6,12160,12159,12659,3,feet,0,True,,12784,13284
S01:T:record03:trial008,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,7,14210,14209,14709,4,tongue,0,True,,14834,15334
S01:T:record03:trial009,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,8,16141,16140,16640,2,right_hand,0,True,,16765,17265
S01:T:record03:trial010,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,9,18139,18138,18638,3,feet,0,True,,18763,19263
S01:T:record03:trial011,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,10,20045,20044,20544,1,left_hand,0,True,,20669,21169
S01:T:record03:trial012,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,11,21940,21939,22439,1,left_hand,0,True,,22564,23064
S01:T:record03:trial013,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,12,23912,23911,24411,1,left_hand,0,True,,24536,25036
S01:T:record03:trial014,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,13,25856,25855,26355,4,tongue,0,True,,26480,26980
S01:T:record03:trial015,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,14,27823,27822,28322,2,right_hand,0,True,,28447,28947
S01:T:record03:trial016,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,15,29943,29942,30442,2,right_hand,0,True,,30567,31067
S01:T:record03:trial017,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,16,31951,31950,32450,1,left_hand,0,True,,32575,33075
